id;street_address;postal_code;city;state_province
1;beaucoup;chef de cuisine ronron;Villejuif;tout à fait énorme naguère
2;totalement de manière à ce que;hors proche de apte;Poitiers;si bien que
3;magnifique de manière à;parcourir;Les Abymes;dès que énergique
4;gratis;communauté étudiante triangulaire;Besançon;conseil municipal si bien que rectangulaire
5;téméraire après que;d’autant que ici trop;Cayenne;après que à moins de
6;rectorat;personnel professionnel depuis;Limoges;déduire pschitt plutôt
7;apte;vu que raisonner;Chambéry;rire tic-tac sous
8;endormir grrr;à condition que foule;Créteil;terne vaste blablabla
9;à condition que;altruiste à cause de gestionnaire;Sarcelles;parce que
10;toc si vu que;doter patientèle;Ajaccio;assez de la part de derechef
